stages,map,team,player_name,player_steamid,side,Kills,Assists,Deaths,Smokes Thrown,Molotovs Thrown,Grenades,Headshots,Rounds Played,Headshot %
Quarterfinals,Inferno,MOUZ,Jimpphat,76561198855375325,Terrorist,5.0,3.0,11.0,1.0,2.0,1.0,1.0,12.0,20.0
Quarterfinals,Inferno,MOUZ,Jimpphat,76561198855375325,Both,5.0,3.0,14.0,1.0,2.0,2.0,1.0,15.0,20.0
Quarterfinals,Inferno,MOUZ,Spinx,76561198063336407,Counter Terrorist,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0
Quarterfinals,Inferno,MOUZ,Spinx,76561198063336407,Terrorist,7.0,2.0,12.0,4.0,3.0,1.0,5.0,12.0,71.43
Quarterfinals,Inferno,MOUZ,Spinx,76561198063336407,Both,7.0,3.0,15.0,4.0,3.0,1.0,5.0,15.0,71.43
Quarterfinals,Inferno,MOUZ,torzsi,76561198355739212,Counter Terrorist,2.0,0.0,3.0,1.0,0.0,0.0,2.0,3.0,100.0
Quarterfinals,Inferno,MOUZ,torzsi,76561198355739212,Terrorist,14.0,0.0,10.0,4.0,2.0,0.0,7.0,12.0,50.0
Quarterfinals,Inferno,MOUZ,torzsi,76561198355739212,Both,16.0,0.0,13.0,5.0,2.0,0.0,9.0,15.0,56.25
Quarterfinals,Inferno,MOUZ,xertioN,76561198193174134,Counter Terrorist,1.0,0.0,3.0,1.0,0.0,1.0,1.0,3.0,100.0
Quarterfinals,Inferno,MOUZ,xertioN,76561198193174134,Terrorist,3.0,6.0,11.0,3.0,7.0,4.0,3.0,12.0,100.0
Quarterfinals,Inferno,MOUZ,xertioN,76561198193174134,Both,4.0,6.0,14.0,4.0,7.0,5.0,4.0,15.0,100.0
Quarterfinals,Inferno,Natus Vincere,Aleksib,76561198013243326,Counter Terrorist,10.0,4.0,9.0,6.0,18.0,6.0,4.0,14.0,40.0
